mol_pred_loaded,mol_true_loaded,mol_cond_loaded,sanitization,inchi_convertible,all_atoms_connected,molecular_formula,molecular_bonds,double_bond_stereochemistry,tetrahedral_chirality,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,double_bond_flatness,internal_energy,protein-ligand_maximum_distance,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,minimum_distance_to_waters,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,volume_overlap_with_waters,rmsd_≤_2å,passes_valence_checks,passes_kekulization,inchi_crystal_valid,inchi_docked_valid,inchi_crystal,inchi_docked,inchi_overall,inchi_version,stereochemistry_preserved,hydrogens,net_charge,protons,stereo_sp3,stereo_sp3_inverted,stereo_type,number_bonds,shortest_bond_relative_length,longest_bond_relative_length,number_short_outlier_bonds,number_long_outlier_bonds,number_angles,most_extreme_relative_angle,number_outlier_angles,number_noncov_pairs,shortest_noncovalent_relative_distance,number_clashes,number_valid_bonds,number_valid_angles,number_valid_noncov_pairs,number_aromatic_rings_checked,number_aromatic_rings_pass,aromatic_ring_maximum_distance_from_plane,number_double_bonds_checked,number_double_bonds_pass,double_bond_maximum_distance_from_plane,ensemble_avg_energy,mol_pred_energy,energy_ratio,smallest_distance_protein,num_pairwise_clashes_protein,most_extreme_ligand_atom_id_protein,most_extreme_protein_atom_id_protein,most_extreme_ligand_element_protein,most_extreme_protein_element_protein,most_extreme_ligand_vdw_protein,most_extreme_protein_vdw_protein,most_extreme_sum_radii_protein,most_extreme_distance_protein,most_extreme_sum_radii_scaled_protein,most_extreme_relative_distance_protein,most_extreme_clash_protein,smallest_distance_organic_cofactors,not_too_far_away_organic_cofactors,num_pairwise_clashes_organic_cofactors,most_extreme_ligand_atom_id_organic_cofactors,most_extreme_protein_atom_id_organic_cofactors,most_extreme_ligand_element_organic_cofactors,most_extreme_protein_element_organic_cofactors,most_extreme_ligand_vdw_organic_cofactors,most_extreme_protein_vdw_organic_cofactors,most_extreme_sum_radii_organic_cofactors,most_extreme_distance_organic_cofactors,most_extreme_sum_radii_scaled_organic_cofactors,most_extreme_relative_distance_organic_cofactors,most_extreme_clash_organic_cofactors,smallest_distance_inorganic_cofactors,not_too_far_away_inorganic_cofactors,num_pairwise_clashes_inorganic_cofactors,most_extreme_ligand_atom_id_inorganic_cofactors,most_extreme_protein_atom_id_inorganic_cofactors,most_extreme_ligand_element_inorganic_cofactors,most_extreme_protein_element_inorganic_cofactors,most_extreme_ligand_vdw_inorganic_cofactors,most_extreme_protein_vdw_inorganic_cofactors,most_extreme_sum_radii_inorganic_cofactors,most_extreme_distance_inorganic_cofactors,most_extreme_sum_radii_scaled_inorganic_cofactors,most_extreme_relative_distance_inorganic_cofactors,most_extreme_clash_inorganic_cofactors,smallest_distance_waters,not_too_far_away_waters,num_pairwise_clashes_waters,most_extreme_ligand_atom_id_waters,most_extreme_protein_atom_id_waters,most_extreme_ligand_element_waters,most_extreme_protein_element_waters,most_extreme_ligand_vdw_waters,most_extreme_protein_vdw_waters,most_extreme_sum_radii_waters,most_extreme_distance_waters,most_extreme_sum_radii_scaled_waters,most_extreme_relative_distance_waters,most_extreme_clash_waters,volume_overlap_protein,volume_overlap_organic_cofactors,volume_overlap_inorganic_cofactors,volume_overlap_waters,rmsd,kabsch_rmsd,centroid_distance,score,method,protein,rank
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,"InChI=1S/C6H12O5/c1-10-6-5(9)4(8)3(7)2-11-6/h3-9H,2H2,1H3/t3-,4+,5-,6-/m1/s1","InChI=1S/C6H12O5/c1-10-6-5(9)4(8)3(7)2-11-6/h3-9H,2H2,1H3/t3-,4+,5-,6-/m1/s1",True,True,True,True,True,True,True,True,True,11,0.998827820399738,1.0574915401353273,0,0,15,1.0602870699960125,0,29,1.066502554761616,0,11,15,29,0,0,,0,0,,29.907733575893793,64.46687911946049,2.155525391312902,2.710910234589118,0,13,9788,O,O,1.55,1.55,3.1,2.710910234589118,3.1,0.8744871724481026,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.032991202346041054,,,,0.643140124700675,0.2914128481618606,0.3195358764890661,0.96,gnina,7ZDY_6MJ,1
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C6H12O5/c1-10-6-5(9)4(8)3(7)2-11-6/h3-9H,2H2,1H3/t3-,4+,5-,6-/m1/s1","InChI=1S/C6H12O5/c1-10-6-5(9)4(8)3(7)2-11-6/h3-9H,2H2,1H3/t3-,4+,5-,6-/m1/s1",True,True,True,True,True,True,True,True,True,11,0.9987791241041839,1.057545492929964,0,0,15,1.0603029357223437,0,29,1.02961091744852,0,11,15,29,0,0,,0,0,,29.907733575893793,310.5955396299547,10.385124598017038,2.795399837232593,0,2,8129,C,O,1.7,1.55,3.25,2.797528780906464,3.25,0.8607780864327582,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.033210332103321034,,,,2.4033148291852684,0.6636844278559417,0.8718481645711652,0.87,gnina,7ZDY_6MJ,2
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C6H12O5/c1-10-6-5(9)4(8)3(7)2-11-6/h3-9H,2H2,1H3/t3-,4+,5-,6-/m1/s1","InChI=1S/C6H12O5/c1-10-6-5(9)4(8)3(7)2-11-6/h3-9H,2H2,1H3/t3-,4+,5-,6-/m1/s1",True,True,True,True,True,True,True,True,True,11,0.9988162197252637,1.0574984328307773,0,0,15,1.0602986237481027,0,29,1.1325199473410994,0,11,15,29,0,0,,0,0,,29.907733575893793,55.990078305802236,1.8720936564357826,2.659110823188834,0,12,7503,C,N,1.7,1.6,3.3,2.659110823188834,3.3,0.805791158542071,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.04143544210136885,,,,3.812507313018322,0.43207123518260354,0.5419226172230223,0.74,gnina,7ZDY_6MJ,3
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C6H12O5/c1-10-6-5(9)4(8)3(7)2-11-6/h3-9H,2H2,1H3/t3-,4+,5-,6-/m1/s1","InChI=1S/C6H12O5/c1-10-6-5(9)4(8)3(7)2-11-6/h3-9H,2H2,1H3/t3-,4+,5-,6-/m1/s1",True,True,True,True,True,True,True,True,True,11,0.9987587919678907,1.057491341007015,0,0,15,1.06026608873519,0,29,1.1325280260796737,0,11,15,29,0,0,,0,0,,29.907733575893793,57.311399817608944,1.9162735842947,2.652457368177671,0,8,6456,O,N,1.55,1.6,3.1500000000000004,2.652457368177671,3.1500000000000004,0.8420499581516415,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.03786764705882353,,,,2.5632355921586836,0.27537731860629877,0.4277572510989895,0.71,gnina,7ZDY_6MJ,4
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C6H12O5/c1-10-6-5(9)4(8)3(7)2-11-6/h3-9H,2H2,1H3/t3-,4+,5-,6-/m1/s1","InChI=1S/C6H12O5/c1-10-6-5(9)4(8)3(7)2-11-6/h3-9H,2H2,1H3/t3-,4+,5-,6-/m1/s1",True,True,True,True,True,True,True,True,True,11,0.9987673878622324,1.0575319264206529,0,0,15,1.0602740151943004,0,29,1.13251911102029,0,11,15,29,0,0,,0,0,,29.907733575893793,56.10260738394783,1.8758561975812036,2.514041417717698,1,12,7882,C,C,1.7,1.7,3.4,2.514041417717698,3.4,0.7394239463875583,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.05837004405286344,,,,2.729505663035973,0.0318700892730097,0.33395722705779696,0.58,gnina,7ZDY_6MJ,5
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,"InChI=1S/C11H18N5O12P3/c12-9-6-10(14-2-13-9)16(3-15-6)11-8(18)7(17)5(27-11)1-26-31(24,25)28-30(22,23)4-29(19,20)21/h2-3,5,7-8,11,17-18H,1,4H2,(H,22,23)(H,24,25)(H2,12,13,14)(H2,19,20,21)/t5-,7-,8-,11-/m1/s1","InChI=1S/C11H18N5O12P3/c12-9-6-10(14-2-13-9)16(3-15-6)11-8(18)7(17)5(27-11)1-26-31(24,25)28-30(22,23)4-29(19,20)21/h2-3,5,7-8,11,17-18H,1,4H2,(H,22,23)(H,24,25)(H2,12,13,14)(H2,19,20,21)/t5-,7-,8-,11-/m1/s1",True,True,True,True,True,True,True,True,True,33,0.8868841570072329,1.1368542819143097,0,0,52,1.0980803477816106,0,380,0.9528461538590779,0,33,52,380,1,1,0.00988653758900673,0,0,,75.56854375557529,292.3412697482749,3.868557672539595,2.8312913820375316,0,30,554,O,N,1.55,1.6,3.1500000000000004,2.8312913820375316,3.1500000000000004,0.8988226609642956,False,,False,0,,,,,,,,,,,,2.707543364380338,True,0,35,2605,O,Mg,0.68,1.1,1.7800000000000002,2.707543364380338,1.7800000000000002,1.5210917777417627,False,,False,0,,,,,,,,,,,,0.010084491687108205,,0.0,,0.650826112002673,0.46938189275087544,0.3965778072994691,0.95,gnina,7WCF_ACP,1
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C11H18N5O12P3/c12-9-6-10(14-2-13-9)16(3-15-6)11-8(18)7(17)5(27-11)1-26-31(24,25)28-30(22,23)4-29(19,20)21/h2-3,5,7-8,11,17-18H,1,4H2,(H,22,23)(H,24,25)(H2,12,13,14)(H2,19,20,21)/t5-,7-,8-,11-/m1/s1","InChI=1S/C11H18N5O12P3/c12-9-6-10(14-2-13-9)16(3-15-6)11-8(18)7(17)5(27-11)1-26-31(24,25)28-30(22,23)4-29(19,20)21/h2-3,5,7-8,11,17-18H,1,4H2,(H,22,23)(H,24,25)(H2,12,13,14)(H2,19,20,21)/t5-,7-,8-,11-/m1/s1",True,True,True,True,True,True,True,True,True,33,0.8868609430407879,1.1368336634704506,0,0,52,1.0980424889135993,0,380,0.9690008511135949,0,33,52,380,1,1,0.009936637839942699,0,0,,75.56854375557529,330.9995195419267,4.380123039191241,2.819409395600434,0,36,1839,O,O,1.55,1.55,3.1,2.819409395600434,3.1,0.9094869018065916,False,,False,0,,,,,,,,,,,,4.081413066573878,True,0,30,2605,O,Mg,0.68,1.1,1.7800000000000002,4.081413066573878,1.7800000000000002,2.292928689086448,False,,False,0,,,,,,,,,,,,0.009444292362441828,,,,2.580718076740058,2.316825230071117,1.1170294537109815,0.91,gnina,7WCF_ACP,2
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C11H18N5O12P3/c12-9-6-10(14-2-13-9)16(3-15-6)11-8(18)7(17)5(27-11)1-26-31(24,25)28-30(22,23)4-29(19,20)21/h2-3,5,7-8,11,17-18H,1,4H2,(H,22,23)(H,24,25)(H2,12,13,14)(H2,19,20,21)/t5-,7-,8-,11-/m1/s1","InChI=1S/C11H18N5O12P3/c12-9-6-10(14-2-13-9)16(3-15-6)11-8(18)7(17)5(27-11)1-26-31(24,25)28-30(22,23)4-29(19,20)21/h2-3,5,7-8,11,17-18H,1,4H2,(H,22,23)(H,24,25)(H2,12,13,14)(H2,19,20,21)/t5-,7-,8-,11-/m1/s1",True,True,True,True,True,True,True,True,True,33,0.8868896152168891,1.1368531214533235,0,0,52,1.0980630615851528,0,380,0.9678406196526645,0,33,52,380,1,1,0.009946430433475118,0,0,,75.56854375557529,305.6206300351347,4.044283703860399,2.808157420801049,0,3,1720,O,O,1.55,1.55,3.1,2.808157420801049,3.1,0.9058572325164674,False,,False,0,,,,,,,,,,,,5.603330382013896,False,0,24,2605,O,Mg,0.68,1.1,1.7800000000000002,5.603330382013896,1.7800000000000002,3.147938416861739,False,,False,0,,,,,,,,,,,,0.004896626768226333,,,,3.522702020855856,1.6658171214520345,2.408976841540837,0.86,gnina,7WCF_ACP,3
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C11H18N5O12P3/c12-9-6-10(14-2-13-9)16(3-15-6)11-8(18)7(17)5(27-11)1-26-31(24,25)28-30(22,23)4-29(19,20)21/h2-3,5,7-8,11,17-18H,1,4H2,(H,22,23)(H,24,25)(H2,12,13,14)(H2,19,20,21)/t5-,7-,8-,11-/m1/s1","InChI=1S/C11H18N5O12P3/c12-9-6-10(14-2-13-9)16(3-15-6)11-8(18)7(17)5(27-11)1-26-31(24,25)28-30(22,23)4-29(19,20)21/h2-3,5,7-8,11,17-18H,1,4H2,(H,22,23)(H,24,25)(H2,12,13,14)(H2,19,20,21)/t5-,7-,8-,11-/m1/s1",True,True,True,True,True,True,True,True,True,33,0.8869037266516442,1.136863799881352,0,0,52,1.0980454037834193,0,380,0.9767820369068066,0,33,52,380,1,1,0.0098778964249215,0,0,,75.56854375557529,303.37801098029394,4.014607082565506,3.0368371737714237,0,30,1327,O,N,1.55,1.6,3.1500000000000004,3.0368371737714237,3.1500000000000004,0.9640752932607694,False,,False,0,,,,,,,,,,,,4.50464702057775,True,0,25,2605,O,Mg,0.68,1.1,1.7800000000000002,4.50464702057775,1.7800000000000002,2.530700573358286,False,,False,0,,,,,,,,,,,,0.003955804119492565,,,,3.729741590460779,2.361154466749615,1.8814881455297492,0.83,gnina,7WCF_ACP,4
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C11H18N5O12P3/c12-9-6-10(14-2-13-9)16(3-15-6)11-8(18)7(17)5(27-11)1-26-31(24,25)28-30(22,23)4-29(19,20)21/h2-3,5,7-8,11,17-18H,1,4H2,(H,22,23)(H,24,25)(H2,12,13,14)(H2,19,20,21)/t5-,7-,8-,11-/m1/s1","InChI=1S/C11H18N5O12P3/c12-9-6-10(14-2-13-9)16(3-15-6)11-8(18)7(17)5(27-11)1-26-31(24,25)28-30(22,23)4-29(19,20)21/h2-3,5,7-8,11,17-18H,1,4H2,(H,22,23)(H,24,25)(H2,12,13,14)(H2,19,20,21)/t5-,7-,8-,11-/m1/s1",True,True,True,True,True,True,True,True,True,33,0.8868732255329155,1.1368409767117016,0,0,52,1.0980598959525443,0,380,0.9680056612941818,0,33,52,380,1,1,0.009900401249893697,0,0,,75.56854375557529,297.31908250892764,3.934429165005473,2.870425217628914,0,14,1098,N,O,1.6,1.55,3.1500000000000004,2.870425217628914,3.1500000000000004,0.9112461008345758,False,,False,0,,,,,,,,,,,,2.143686192053305,True,0,29,2605,O,Mg,0.68,1.1,1.7800000000000002,2.143686192053305,1.7800000000000002,1.204318085423205,False,,False,0,,,,,,,,,,,,0.007346938775510204,,0.004485645933014354,,2.2691510315960786,1.7012735273481108,1.417384683048279,0.73,gnina,7WCF_ACP,5
