system_name,exec_time,timestamp,timestamp_dt
8pw1__10__1.J__1.T,62.24,"2025-06-13 23:23:04,938",2025-06-13 23:23:04.938
5oju__1__2.B__2.K,91.27,"2025-06-13 23:24:36,206",2025-06-13 23:24:36.206
4x8d__2__1.B__1.T_1.U_1.V,91.8,"2025-06-13 23:26:08,006",2025-06-13 23:26:08.006
6dft__2__1.E_1.F_1.G_1.H__1.T_1.U,150.58,"2025-06-13 23:28:38,585",2025-06-13 23:28:38.585
5eq9__1__1.A__1.E,146.69,"2025-06-13 23:31:05,276",2025-06-13 23:31:05.276
7erb__2__1.C__1.L_1.M,64.66,"2025-06-13 23:32:09,933",2025-06-13 23:32:09.933
3rou__1__1.A_1.B__1.D,63.01,"2025-06-13 23:33:12,938",2025-06-13 23:33:12.938
1z2i__1__1.A_1.B__1.E,167.7,"2025-06-13 23:36:00,636",2025-06-13 23:36:00.636
3w6c__1__1.A__1.E,133.01,"2025-06-13 23:38:13,644",2025-06-13 23:38:13.644
6oa1__1__1.A__1.B,178.58,"2025-06-13 23:41:12,222",2025-06-13 23:41:12.222
5fli__2__1.F__1.W_1.X,124.15,"2025-06-13 23:43:16,374",2025-06-13 23:43:16.374
6zbn__1__1.A__1.G_1.H,120.48,"2025-06-13 23:45:16,854",2025-06-13 23:45:16.854
8og5__1__1.A__1.D,179.83,"2025-06-13 23:48:16,683",2025-06-13 23:48:16.683
1oik__1__2.A__2.C_2.D_2.E,147.99,"2025-06-13 23:50:44,671",2025-06-13 23:50:44.671
4xp1__1__1.A__1.N,112.43,"2025-06-13 23:52:37,100",2025-06-13 23:52:37.100
1ua3__1__1.A__1.B,316.43,"2025-06-13 23:57:53,533",2025-06-13 23:57:53.533
2e82__1__1.B__1.G_1.H,86.26,"2025-06-13 23:59:19,791",2025-06-13 23:59:19.791
7d2f__1__1.A__1.C,137.71,"2025-06-14 00:01:37,502",2025-06-14 00:01:37.502
5flj__2__1.L__1.YA_1.ZA,127.14,"2025-06-14 00:03:44,645",2025-06-14 00:03:44.645
3lu6__1__1.A__1.D,109.67,"2025-06-14 00:05:34,313",2025-06-14 00:05:34.313
6x9f__1__1.A__1.I,74.91,"2025-06-14 00:06:49,222",2025-06-14 00:06:49.222
3wgb__1__1.A_1.B_1.D__1.F,186.45,"2025-06-14 00:09:55,674",2025-06-14 00:09:55.674
6fxk__1__2.A__2.B,143.82,"2025-06-14 00:12:19,495",2025-06-14 00:12:19.495
6zbo__1__1.A__1.G_1.H,127.72,"2025-06-14 00:14:27,215",2025-06-14 00:14:27.215
7r2v__2__1.B__1.L,220.09,"2025-06-14 00:18:07,303",2025-06-14 00:18:07.303
