protein,model,confidence,protein_ca_aligned_rmsd,protein_backbone_aligned_rmsd,ligand_rmsd,ligand_coordinate_rmsd,binding_site_aligned_rmsd,atom_count_match
1afb__1__1.A__1.D_1.F,0,0.9686815142631532,7.288222861969067,7.234415826060389,0.1063121169666156,61.86309143908022,,True
1afb__1__1.A__1.D_1.F,1,0.9676381945610046,8.294978012396426,8.238616229318696,0.1131518156236665,53.67497948454817,,True
1afb__1__1.A__1.D_1.F,2,0.966929852962494,7.902068119052578,7.843211917185885,0.1309459484643461,64.80214741966503,,True
1b5d__1__1.A_1.B__1.D,0,0.9788171648979188,0.4069306758770254,0.415178132893939,0.8317797979909398,36.34015004715858,,True
1b5d__1__1.A_1.B__1.D,1,0.978379249572754,0.3797298506837654,0.3842775351530526,0.5205515490010432,25.79454346368627,,True
1b5d__1__1.A_1.B__1.D,2,0.9783002734184264,0.4826361130432304,0.4825870730508715,0.5276432110492906,31.32592106387297,,True
1bcj__1__1.B__1.I_1.K,0,0.972051441669464,8.358608834181476,8.292918828496358,0.21947021571294,29.279125307973256,,True
1bcj__1__1.B__1.I_1.K,1,0.9706673622131348,8.74341010680161,8.680505054129817,0.1811105608173422,50.08753406986612,,True
1bcj__1__1.B__1.I_1.K,2,0.9703679084777832,8.766921501510705,8.701519522106537,0.1983907032536308,26.515028254432114,,True
1ci0__1__1.A_1.B__1.D,0,0.9750586748123168,3.8165210534008502,3.619428545287751,1.0992572999109411,39.048254355265975,,True
1ci0__1__1.A_1.B__1.D,1,0.9745450019836426,3.829466853914264,3.6305516918106817,1.129354836948352,39.566403679906145,,True
1ci0__1__1.A_1.B__1.D,2,0.9743463397026062,3.815111902027062,3.6147243037626016,1.1099363645939486,45.56123594927827,,True
1dku__2__1.B_3.A_3.B__3.E,0,0.944387435913086,0.826259701080099,0.8685107647262189,1.900347495876612,90.51536331412966,,True
1dku__2__1.B_3.A_3.B__3.E,1,0.942072093486786,0.8761429213254375,0.9126128458222066,1.968800732501959,72.7925332592313,,True
1dku__2__1.B_3.A_3.B__3.E,2,0.9414364099502563,0.9298730517300214,0.9676474270411032,2.085204318969651,98.95966865363404,,True
1dp4__2__1.A__1.C,0,0.9248033761978148,0.728192186459176,0.731556110325758,0.8057671883324936,180.55057959435393,,True
1dp4__2__1.A__1.C,1,0.9235002398490906,0.8591700758116908,0.8388206292002258,1.373785059248776,151.33563675391954,,True
1dp4__2__1.A__1.C,2,0.9230626225471495,0.7821184365102004,0.7882094855082151,1.29762833823388,171.98310898280928,,True
1dvr__1__1.A_1.B__1.C,0,0.9352465867996216,3.590671852467343,3.611502748312701,1.9570736984655368,61.31788814263524,,True
1dvr__1__1.A_1.B__1.C,1,0.9305686354637146,3.733476396944873,3.746745159217516,1.7576611281136707,47.88458490300749,,True
1dvr__1__1.A_1.B__1.C,2,0.9295112490653992,4.1269713252682445,4.139237694853692,1.7170615759356025,48.80953734050282,,True
1e1z__1__2.A__2.B,0,0.9278611540794371,0.6189723108431336,0.6366492382674449,1.93925505765616,62.790017393577095,,True
1e1z__1__2.A__2.B,1,0.927377998828888,0.6180388549000465,0.6439523607601336,0.9759954680704734,73.72649112622759,,True
1e1z__1__2.A__2.B,2,0.9269542098045348,0.6168616443757758,0.635960047218763,1.5483191112569732,76.91534518430915,,True
1esw__1__1.A__1.B_1.D,0,0.9721328020095824,1.0300648692756875,1.0157884447662329,1.1048145412563704,54.47318499729936,,True
1esw__1__1.A__1.B_1.D,1,0.9715806245803832,1.0682617586664636,1.0546350789402346,1.1257370212556572,49.431157705807,,True
1esw__1__1.A__1.B_1.D,2,0.9713186621665956,0.8958065825621669,0.8823689916184605,1.0120024261835103,58.913908770649094,,True
1fj4__1__1.B__1.F,0,0.9705551266670228,0.409759693938831,0.4476681343431632,0.0221353575107695,29.21065641165908,,True
1fj4__1__1.B__1.F,1,0.9685439467430116,0.4369040149105243,0.4705252439654437,0.0197243904960697,14.837914088577277,,True
1fj4__1__1.B__1.F,2,0.9680477380752563,0.3759676022746692,0.4143578061471083,0.0217062364268225,17.4554443696761,,True
1g4s__2__1.B__1.F_1.G_1.H,0,0.9847311973571776,0.357904910016198,0.3638427107558447,0.7447402455676053,75.08884729771792,,True
1g4s__2__1.B__1.F_1.G_1.H,1,0.984566330909729,0.3699960032587037,0.3737578356232271,0.7385641096646753,78.5285757745664,,True
1g4s__2__1.B__1.F_1.G_1.H,2,0.9844585657119752,0.3431722816823871,0.3771732293030248,0.7426225396780897,69.17441909602658,,True
1g4t__2__1.B__1.F_1.G_1.H,0,0.9832677245140076,0.3614688635570242,0.3499687914798797,0.926348440569692,77.67800518602418,,True
1g4t__2__1.B__1.F_1.G_1.H,1,0.9832097291946412,0.3587685751616028,0.3493048281562534,0.9557236570997864,81.04646979875187,,True
1g4t__2__1.B__1.F_1.G_1.H,2,0.983024537563324,0.2923874940907336,0.2844464483128697,0.9879661667668176,69.42952679602533,,True
1g60__1__1.A__1.D,0,0.95846426486969,1.4948443816855017,1.4951146221336102,0.4187597994102613,57.48033300987326,,True
1g60__1__1.A__1.D,1,0.9579848647117616,1.0783362323626338,1.090025483732758,0.394754007720706,45.76008004396004,,True
1g60__1__1.A__1.D,2,0.957932472229004,1.6216685077473532,1.6086744288377672,0.4124642899345481,65.66240463213386,,True
