protein,model,confidence,protein_ca_aligned_rmsd,protein_backbone_aligned_rmsd,ligand_rmsd,ligand_coordinate_rmsd,binding_site_aligned_rmsd,atom_count_match
1afb__1__1.A__1.D_1.F,0,0.9686815142631532,7.288222861969067,7.234415826060389,2.6016685962677,61.86309143908022,,True
1afb__1__1.A__1.D_1.F,1,0.9676381945610046,8.294978012396426,8.238616229318696,2.604522466659546,53.67497948454817,,True
1afb__1__1.A__1.D_1.F,2,0.966929852962494,7.902068119052578,7.843211917185885,2.583262205123902,64.80214741966503,,True
1b5d__1__1.A_1.B__1.D,0,0.9788171648979188,0.4069306758770254,0.415178132893939,1.939902663230896,36.34015004715858,,True
1b5d__1__1.A_1.B__1.D,1,0.978379249572754,0.3797298506837654,0.3842775351530526,2.52956485748291,25.79454346368627,,True
1b5d__1__1.A_1.B__1.D,2,0.9783002734184264,0.4826361130432304,0.4825870730508715,2.5313422679901123,31.32592106387297,,True
1bcj__1__1.B__1.I_1.K,0,0.972051441669464,8.358608834181476,8.292918828496358,2.564481019973755,29.279125307973256,,True
1bcj__1__1.B__1.I_1.K,1,0.9706673622131348,8.74341010680161,8.680505054129817,2.560962438583374,50.08753406986612,,True
1bcj__1__1.B__1.I_1.K,2,0.9703679084777832,8.766921501510705,8.701519522106537,2.547137498855591,26.515028254432114,,True
1ci0__1__1.A_1.B__1.D,0,0.9750586748123168,3.8165210534008502,3.619428545287751,1.7574117183685305,39.048254355265975,,True
1ci0__1__1.A_1.B__1.D,1,0.9745450019836426,3.829466853914264,3.6305516918106817,1.6612505912780762,39.566403679906145,,True
1ci0__1__1.A_1.B__1.D,2,0.9743463397026062,3.815111902027062,3.6147243037626016,1.7011817693710327,45.56123594927827,,True
1dku__2__1.B_3.A_3.B__3.E,0,0.944387435913086,0.826259701080099,0.8685107647262189,2.4007437229156494,90.51536331412966,,True
1dku__2__1.B_3.A_3.B__3.E,1,0.942072093486786,0.8761429213254375,0.9126128458222066,2.1068480014801025,72.7925332592313,,True
1dku__2__1.B_3.A_3.B__3.E,2,0.9414364099502563,0.9298730517300214,0.9676474270411032,2.3706822395324707,98.95966865363404,,True
1dp4__2__1.A__1.C,0,0.9248033761978148,0.728192186459176,0.731556110325758,4.202661514282227,180.55057959435393,,True
1dp4__2__1.A__1.C,1,0.9235002398490906,0.8591700758116908,0.8388206292002258,4.315351963043213,151.33563675391954,,True
1dp4__2__1.A__1.C,2,0.9230626225471495,0.7821184365102004,0.7882094855082151,4.307660102844238,171.98310898280928,,True
1dvr__1__1.A_1.B__1.C,0,0.9352465867996216,3.590671852467343,3.611502748312701,3.689157485961914,61.31788814263524,,True
1dvr__1__1.A_1.B__1.C,1,0.9305686354637146,3.733476396944873,3.746745159217516,3.38801908493042,47.88458490300749,,True
1dvr__1__1.A_1.B__1.C,2,0.9295112490653992,4.1269713252682445,4.139237694853692,3.422201156616211,48.80953734050282,,True
1e1z__1__2.A__2.B,0,0.9278611540794371,0.6189723108431336,0.6366492382674449,4.272882461547852,62.790017393577095,,True
1e1z__1__2.A__2.B,1,0.927377998828888,0.6180388549000465,0.6439523607601336,4.048652172088623,73.72649112622759,,True
1e1z__1__2.A__2.B,2,0.9269542098045348,0.6168616443757758,0.635960047218763,4.344099521636963,76.91534518430915,,True
1esw__1__1.A__1.B_1.D,0,0.9721328020095824,1.0300648692756875,1.0157884447662329,5.228649616241455,54.47318499729936,,True
1esw__1__1.A__1.B_1.D,1,0.9715806245803832,1.0682617586664636,1.0546350789402346,5.243635177612305,49.431157705807,,True
1esw__1__1.A__1.B_1.D,2,0.9713186621665956,0.8958065825621669,0.8823689916184605,5.214864253997803,58.913908770649094,,True
1fj4__1__1.B__1.F,0,0.9705551266670228,0.409759693938831,0.4476681343431632,0.5954887270927429,29.21065641165908,,True
1fj4__1__1.B__1.F,1,0.9685439467430116,0.4369040149105243,0.4705252439654437,0.5967661738395691,14.837914088577277,,True
1fj4__1__1.B__1.F,2,0.9680477380752563,0.3759676022746692,0.4143578061471083,0.5954365134239197,17.4554443696761,,True
1g4s__2__1.B__1.F_1.G_1.H,0,0.9847311973571776,0.357904910016198,0.3638427107558447,0.1119140014052391,75.08884729771792,,True
1g4s__2__1.B__1.F_1.G_1.H,1,0.984566330909729,0.3699960032587037,0.3737578356232271,0.1107679605484008,78.5285757745664,,True
1g4s__2__1.B__1.F_1.G_1.H,2,0.9844585657119752,0.3431722816823871,0.3771732293030248,0.1089993268251419,69.17441909602658,,True
1g4t__2__1.B__1.F_1.G_1.H,0,0.9832677245140076,0.3614688635570242,0.3499687914798797,3.8203444480896,77.67800518602418,,True
1g4t__2__1.B__1.F_1.G_1.H,1,0.9832097291946412,0.3587685751616028,0.3493048281562534,3.819171190261841,81.04646979875187,,True
1g4t__2__1.B__1.F_1.G_1.H,2,0.983024537563324,0.2923874940907336,0.2844464483128697,3.807149648666382,69.42952679602533,,True
1g60__1__1.A__1.D,0,0.95846426486969,1.4948443816855017,1.4951146221336102,2.5419814586639404,57.48033300987326,,True
1g60__1__1.A__1.D,1,0.9579848647117616,1.0783362323626338,1.090025483732758,2.523087978363037,45.76008004396004,,True
1g60__1__1.A__1.D,2,0.957932472229004,1.6216685077473532,1.6086744288377672,2.5247228145599365,65.66240463213386,,True
1g77__1__1.A_2.A__2.D_2.E,0,0.9707143902778624,9.790577327674876,9.691550014560772,0.1542690992355346,66.15689157625422,,True
1g77__1__1.A_2.A__2.D_2.E,1,0.9704675674438475,9.795178835989129,9.69364614487009,0.1633809357881546,73.06940249251326,,True
1g77__1__1.A_2.A__2.D_2.E,2,0.9702985882759094,9.784754817866276,9.686490694145848,0.1461302936077118,58.75861794252933,,True
1gm9__1__1.A_1.B__1.M_1.O,0,0.963542938232422,29.083536960745885,29.057795383944697,2.1625728607177734,15.863018299911694,,True
1gm9__1__1.A_1.B__1.M_1.O,1,0.9620410203933716,29.133631671056783,29.108543447895233,2.187492847442627,16.106674338608826,,True
1gm9__1__1.A_1.B__1.M_1.O,2,0.9614273309707642,29.115907413091183,29.09107062667891,2.2019622325897217,14.898797036170404,,True
1gqg__2__1.B__1.Q,0,0.9438387751579284,2.309383855373894,2.2856182769049127,2.8220555782318115,89.2131277175218,,True
1gqg__2__1.B__1.Q,1,0.9437536597251892,2.3128068379213476,2.2947038467901586,2.574953556060791,99.59367960403628,,True
1gqg__2__1.B__1.Q,2,0.9422478079795836,2.344215876316735,2.3300795510645673,3.0196619033813477,99.27371025244152,,True
1gtk__1__1.A__1.B,0,0.9444043040275574,1.008685864852303,0.9683199855652218,3.669282913208008,36.00887382715544,,True
1gtk__1__1.A__1.B,1,0.9440361857414246,1.2064923283204412,1.1943022459698578,3.6496047973632817,35.25789695467764,,True
1gtk__1__1.A__1.B,2,0.943516194820404,1.0369523135918262,0.9957308735885052,3.657031536102295,33.54249546967746,,True
1gzf__3__1.C__1.I_1.J,0,0.9272633790969848,0.6191260826629844,0.6401359951118023,2.563755989074707,51.41598167380918,,True
1gzf__3__1.C__1.I_1.J,1,0.9250764846801758,0.5482382289474238,0.5734830651918581,2.18487286567688,53.98179269250231,,True
1gzf__3__1.C__1.I_1.J,2,0.9238466620445251,0.5191002770650549,0.536207640902901,2.575965881347656,46.422390893396035,,True
1h1i__1__1.A_1.C__1.E,0,0.9373416900634766,3.0880181544890797,2.997625727019713,4.750492572784424,90.34720795966604,,True
1h1i__1__1.A_1.C__1.E,1,0.9238999485969543,2.943743762648278,2.8691919994860484,4.560079097747803,75.55893252526232,,True
1h1i__1__1.A_1.C__1.E,2,0.9219927787780762,2.945088027947108,2.868765562107596,4.58188533782959,71.28561408968051,,True
1h36__1__2.B__2.G,0,0.980024755001068,0.3317922179014319,0.348949921841472,5.507538795471191,133.80140124213946,,True
1h36__1__2.B__2.G,1,0.979921281337738,0.3686347551306022,0.394508153839301,5.43310022354126,136.98476543236478,,True
1h36__1__2.B__2.G,2,0.9796540141105652,0.3828102299337068,0.3984035259905696,4.961909294128418,137.17865685331665,,True
