mol_pred_loaded,mol_true_loaded,mol_cond_loaded,sanitization,inchi_convertible,all_atoms_connected,molecular_formula,molecular_bonds,double_bond_stereochemistry,tetrahedral_chirality,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,double_bond_flatness,internal_energy,protein-ligand_maximum_distance,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,minimum_distance_to_waters,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,volume_overlap_with_waters,rmsd_≤_2å,passes_valence_checks,passes_kekulization,inchi_crystal_valid,inchi_docked_valid,inchi_crystal,inchi_docked,inchi_overall,inchi_version,stereochemistry_preserved,hydrogens,net_charge,protons,stereo_sp3,stereo_sp3_inverted,stereo_type,number_bonds,shortest_bond_relative_length,longest_bond_relative_length,number_short_outlier_bonds,number_long_outlier_bonds,number_angles,most_extreme_relative_angle,number_outlier_angles,number_noncov_pairs,shortest_noncovalent_relative_distance,number_clashes,number_valid_bonds,number_valid_angles,number_valid_noncov_pairs,number_aromatic_rings_checked,number_aromatic_rings_pass,aromatic_ring_maximum_distance_from_plane,number_double_bonds_checked,number_double_bonds_pass,double_bond_maximum_distance_from_plane,ensemble_avg_energy,mol_pred_energy,energy_ratio,smallest_distance_protein,num_pairwise_clashes_protein,most_extreme_ligand_atom_id_protein,most_extreme_protein_atom_id_protein,most_extreme_ligand_element_protein,most_extreme_protein_element_protein,most_extreme_ligand_vdw_protein,most_extreme_protein_vdw_protein,most_extreme_sum_radii_protein,most_extreme_distance_protein,most_extreme_sum_radii_scaled_protein,most_extreme_relative_distance_protein,most_extreme_clash_protein,smallest_distance_organic_cofactors,not_too_far_away_organic_cofactors,num_pairwise_clashes_organic_cofactors,most_extreme_ligand_atom_id_organic_cofactors,most_extreme_protein_atom_id_organic_cofactors,most_extreme_ligand_element_organic_cofactors,most_extreme_protein_element_organic_cofactors,most_extreme_ligand_vdw_organic_cofactors,most_extreme_protein_vdw_organic_cofactors,most_extreme_sum_radii_organic_cofactors,most_extreme_distance_organic_cofactors,most_extreme_sum_radii_scaled_organic_cofactors,most_extreme_relative_distance_organic_cofactors,most_extreme_clash_organic_cofactors,smallest_distance_inorganic_cofactors,not_too_far_away_inorganic_cofactors,num_pairwise_clashes_inorganic_cofactors,most_extreme_ligand_atom_id_inorganic_cofactors,most_extreme_protein_atom_id_inorganic_cofactors,most_extreme_ligand_element_inorganic_cofactors,most_extreme_protein_element_inorganic_cofactors,most_extreme_ligand_vdw_inorganic_cofactors,most_extreme_protein_vdw_inorganic_cofactors,most_extreme_sum_radii_inorganic_cofactors,most_extreme_distance_inorganic_cofactors,most_extreme_sum_radii_scaled_inorganic_cofactors,most_extreme_relative_distance_inorganic_cofactors,most_extreme_clash_inorganic_cofactors,smallest_distance_waters,not_too_far_away_waters,num_pairwise_clashes_waters,most_extreme_ligand_atom_id_waters,most_extreme_protein_atom_id_waters,most_extreme_ligand_element_waters,most_extreme_protein_element_waters,most_extreme_ligand_vdw_waters,most_extreme_protein_vdw_waters,most_extreme_sum_radii_waters,most_extreme_distance_waters,most_extreme_sum_radii_scaled_waters,most_extreme_relative_distance_waters,most_extreme_clash_waters,volume_overlap_protein,volume_overlap_organic_cofactors,volume_overlap_inorganic_cofactors,volume_overlap_waters,rmsd,kabsch_rmsd,centroid_distance,score,method,protein,rank
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,True,"InChI=1S/C6H12O5/c1-10-6-5(9)4(8)3(7)2-11-6/h3-9H,2H2,1H3/t3-,4+,5-,6-/m1/s1","InChI=1S/C6H12O5/c1-10-6-5(9)4(8)3(7)2-11-6/h3-9H,2H2,1H3/t3-,4+,5-,6-/m1/s1",True,True,True,True,True,True,True,True,True,11,0.9912822697655962,1.0050175062228879,0,0,15,1.000016983251741,0,29,1.0847888630320137,0,11,15,29,0,0,,0,0,,29.907733575893793,66.21408485678538,2.2139452556229537,1.791253432655471,4,0,6456,C,N,1.7,1.6,3.3,1.791253432655471,3.3,0.5428040705016579,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.16137566137566137,,,,3.2610535129840237,0.5357511671128546,1.2612220039730473,0.41,diffdock,7ZDY_6MJ,1
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,True,"InChI=1S/C6H12O5/c1-10-6-5(9)4(8)3(7)2-11-6/h3-9H,2H2,1H3/t3-,4+,5-,6-/m1/s1","InChI=1S/C6H12O5/c1-10-6-5(9)4(8)3(7)2-11-6/h3-9H,2H2,1H3/t3-,4+,5-,6-/m1/s1",True,True,True,True,True,True,True,True,True,11,0.9912822697655962,1.0050175062228879,0,0,15,1.000016983251741,0,29,1.0847888630320137,0,11,15,29,0,0,,0,0,,29.907733575893793,66.21408485678538,2.2139452556229537,1.791253432655471,4,0,6456,C,N,1.7,1.6,3.3,1.791253432655471,3.3,0.5428040705016579,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.16137566137566137,,,,3.2610535129840237,0.5357511671128546,1.2612220039730473,,diffdock,7ZDY_6MJ,2
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,True,"InChI=1S/C6H12O5/c1-10-6-5(9)4(8)3(7)2-11-6/h3-9H,2H2,1H3/t3-,4+,5-,6-/m1/s1","InChI=1S/C6H12O5/c1-10-6-5(9)4(8)3(7)2-11-6/h3-9H,2H2,1H3/t3-,4+,5-,6-/m1/s1",True,True,True,True,True,True,True,True,True,11,0.9912748710727873,1.0050339020664967,0,0,15,0.9999784875204996,0,29,1.0848042707130612,0,11,15,29,0,0,,0,0,,29.907733575893793,65.04471959337371,2.1748461623919577,1.9348911571455407,5,0,6456,C,N,1.7,1.6,3.3,1.952103268272454,3.3,0.5915464449310467,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.15372964786065885,,,,3.3095156782443937,0.5590853973749126,1.2727547636966083,0.47,diffdock,7ZDY_6MJ,3
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,"InChI=1S/C6H12O5/c1-10-6-5(9)4(8)3(7)2-11-6/h3-9H,2H2,1H3/t3-,4+,5-,6-/m1/s1","InChI=1S/C6H12O5/c1-10-6-5(9)4(8)3(7)2-11-6/h3-9H,2H2,1H3/t3-,4+,5-,6-/m1/s1",True,True,True,True,True,True,True,True,True,11,0.9912775223888858,1.0050394102021258,0,0,15,0.9999994738434617,0,29,1.084797386457085,0,11,15,29,0,0,,0,0,,29.907733575893793,60.870002639241015,2.0352596255673285,1.9732053795791247,1,8,7503,O,N,1.55,1.6,3.1500000000000004,1.9732053795791247,3.1500000000000004,0.6264144062155951,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.077710386656558,,,,1.0676984925104507,0.5172436065121572,0.6156221677201308,0.49,diffdock,7ZDY_6MJ,4
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,True,"InChI=1S/C6H12O5/c1-10-6-5(9)4(8)3(7)2-11-6/h3-9H,2H2,1H3/t3-,4+,5-,6-/m1/s1","InChI=1S/C6H12O5/c1-10-6-5(9)4(8)3(7)2-11-6/h3-9H,2H2,1H3/t3-,4+,5-,6-/m1/s1",True,True,True,True,True,True,True,True,True,11,0.991233227309623,1.0050778173756603,0,0,15,1.0000225897366861,0,29,1.084771214709884,0,11,15,29,0,0,,0,0,,29.907733575893793,64.47600664751943,2.15583058087318,1.6480064411281916,6,10,6751,O,O,1.55,1.55,3.1,1.6480064411281916,3.1,0.5316149810090941,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.1760271390878251,,,,3.2997017293578623,0.580376781927175,1.3653108353438943,0.49,diffdock,7ZDY_6MJ,5
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,True,"InChI=1S/C19H14Cl2F2N4O2/c20-10-2-3-11(15(23)6-10)18-12(8-25-27-18)19(29)26-16(7-17(24)28)9-1-4-14(22)13(21)5-9/h1-6,8,16H,7H2,(H2,24,28)(H,25,27)(H,26,29)/t16-/m0/s1","InChI=1S/C19H14Cl2F2N4O2/c20-10-2-3-11(15(23)6-10)18-12(8-25-27-18)19(29)26-16(7-17(24)28)9-1-4-14(22)13(21)5-9/h1-6,8,16H,7H2,(H2,24,28)(H,25,27)(H,26,29)/t16-/m0/s1",True,True,True,True,True,True,True,True,True,31,0.9218450203464071,1.0470618834013363,0,0,44,1.0375521350069967,0,331,0.9037145125280025,0,31,44,331,3,3,0.011174895847612583,0,0,,82.21370979244085,244.58823117127346,2.9750297339551772,0.3044751057147365,37,26,379,C,C,1.7,1.7,3.4,0.3044751057147365,3.4,0.08955150168080486,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.2311889718552556,,,,24.865247848040497,2.1158924862527053,24.465196008594365,,diffdock,8F8E_XJI,1
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,True,"InChI=1S/C19H14Cl2F2N4O2/c20-10-2-3-11(15(23)6-10)18-12(8-25-27-18)19(29)26-16(7-17(24)28)9-1-4-14(22)13(21)5-9/h1-6,8,16H,7H2,(H2,24,28)(H,25,27)(H,26,29)/t16-/m0/s1","InChI=1S/C19H14Cl2F2N4O2/c20-10-2-3-11(15(23)6-10)18-12(8-25-27-18)19(29)26-16(7-17(24)28)9-1-4-14(22)13(21)5-9/h1-6,8,16H,7H2,(H2,24,28)(H,25,27)(H,26,29)/t16-/m0/s1",True,True,True,True,True,True,True,True,True,31,0.9218450203464071,1.0470618834013363,0,0,44,1.0375521350069967,0,331,0.9037145125280025,0,31,44,331,3,3,0.011174895847612583,0,0,,82.21370979244085,244.58823117127346,2.9750297339551772,0.3044751057147365,37,26,379,C,C,1.7,1.7,3.4,0.3044751057147365,3.4,0.08955150168080486,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.2311889718552556,,,,24.865247848040497,2.1158924862527053,24.465196008594365,1.22,diffdock,8F8E_XJI,2
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,True,"InChI=1S/C19H14Cl2F2N4O2/c20-10-2-3-11(15(23)6-10)18-12(8-25-27-18)19(29)26-16(7-17(24)28)9-1-4-14(22)13(21)5-9/h1-6,8,16H,7H2,(H2,24,28)(H,25,27)(H,26,29)/t16-/m0/s1","InChI=1S/C19H14Cl2F2N4O2/c20-10-2-3-11(15(23)6-10)18-12(8-25-27-18)19(29)26-16(7-17(24)28)9-1-4-14(22)13(21)5-9/h1-6,8,16H,7H2,(H2,24,28)(H,25,27)(H,26,29)/t16-/m0/s1",True,True,True,True,True,True,True,True,True,31,0.9218797068709833,1.0470316419926968,0,0,44,1.0376046138796493,0,331,0.9054195661364051,0,31,44,331,3,3,0.011176138882199248,0,0,,82.21370979244085,218.42714559605182,2.6568214248876423,1.2665387518745712,13,3,1129,C,N,1.7,1.6,3.3,1.2665387518745712,3.3,0.38379962178017313,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.10939289805269187,,,,10.21074587932091,1.388482989893292,7.660887611416595,1.23,diffdock,8F8E_XJI,3
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C19H14Cl2F2N4O2/c20-10-2-3-11(15(23)6-10)18-12(8-25-27-18)19(29)26-16(7-17(24)28)9-1-4-14(22)13(21)5-9/h1-6,8,16H,7H2,(H2,24,28)(H,25,27)(H,26,29)/t16-/m0/s1","InChI=1S/C19H14Cl2F2N4O2/c20-10-2-3-11(15(23)6-10)18-12(8-25-27-18)19(29)26-16(7-17(24)28)9-1-4-14(22)13(21)5-9/h1-6,8,16H,7H2,(H2,24,28)(H,25,27)(H,26,29)/t16-/m0/s1",True,True,True,True,True,True,True,True,True,31,0.9219061552677609,1.0470679126008193,0,0,44,1.0376337285262434,0,331,0.9532476704980235,0,31,44,331,3,3,0.009017450111435345,0,0,,82.21370979244085,216.89119938198064,2.6381390637832856,2.0031127801499338,2,27,561,Cl,C,1.8,1.7,3.5,2.0031127801499338,3.5,0.5723179371856953,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.042007168458781365,,,,11.249885409960466,2.6387114296473926,9.948982337607747,1.57,diffdock,8F8E_XJI,4
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,True,"InChI=1S/C19H14Cl2F2N4O2/c20-10-2-3-11(15(23)6-10)18-12(8-25-27-18)19(29)26-16(7-17(24)28)9-1-4-14(22)13(21)5-9/h1-6,8,16H,7H2,(H2,24,28)(H,25,27)(H,26,29)/t16-/m0/s1","InChI=1S/C19H14Cl2F2N4O2/c20-10-2-3-11(15(23)6-10)18-12(8-25-27-18)19(29)26-16(7-17(24)28)9-1-4-14(22)13(21)5-9/h1-6,8,16H,7H2,(H2,24,28)(H,25,27)(H,26,29)/t16-/m0/s1",True,True,True,True,True,True,True,True,True,31,0.9218754772479718,1.0469867578440912,0,0,44,1.0375947706678714,0,331,0.916969997508427,0,31,44,331,3,3,0.011198537466546279,0,0,,82.21370979244085,219.21791856737016,2.6664399297977694,0.37094243488714007,86,5,378,N,C,1.6,1.7,3.3,0.37094243488714007,3.3,0.1124067984506485,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.4379572514703773,,,,21.869329377558376,3.2844750609519973,20.853705062166046,1.61,diffdock,8F8E_XJI,5
