mol_pred_loaded,mol_true_loaded,mol_cond_loaded,sanitization,all_atoms_connected,molecular_formula,molecular_bonds,double_bond_stereochemistry,tetrahedral_chirality,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,double_bond_flatness,internal_energy,protein-ligand_maximum_distance,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,minimum_distance_to_waters,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,volume_overlap_with_waters,rmsd_≤_2å,passes_valence_checks,passes_kekulization,inchi_crystal_valid,inchi_docked_valid,inchi_crystal,inchi_docked,inchi_overall,inchi_version,stereochemistry_preserved,hydrogens,net_charge,protons,stereo_sp3,stereo_sp3_inverted,stereo_type,number_bonds,shortest_bond_relative_length,longest_bond_relative_length,number_short_outlier_bonds,number_long_outlier_bonds,number_angles,most_extreme_relative_angle,number_outlier_angles,number_noncov_pairs,shortest_noncovalent_relative_distance,number_clashes,number_valid_bonds,number_valid_angles,number_valid_noncov_pairs,number_aromatic_rings_checked,number_aromatic_rings_pass,aromatic_ring_maximum_distance_from_plane,number_double_bonds_checked,number_double_bonds_pass,double_bond_maximum_distance_from_plane,ensemble_avg_energy,mol_pred_energy,energy_ratio,smallest_distance_protein,num_pairwise_clashes_protein,most_extreme_ligand_atom_id_protein,most_extreme_protein_atom_id_protein,most_extreme_ligand_element_protein,most_extreme_protein_element_protein,most_extreme_ligand_vdw_protein,most_extreme_protein_vdw_protein,most_extreme_sum_radii_protein,most_extreme_distance_protein,most_extreme_sum_radii_scaled_protein,most_extreme_relative_distance_protein,most_extreme_clash_protein,smallest_distance_organic_cofactors,not_too_far_away_organic_cofactors,num_pairwise_clashes_organic_cofactors,most_extreme_ligand_atom_id_organic_cofactors,most_extreme_protein_atom_id_organic_cofactors,most_extreme_ligand_element_organic_cofactors,most_extreme_protein_element_organic_cofactors,most_extreme_ligand_vdw_organic_cofactors,most_extreme_protein_vdw_organic_cofactors,most_extreme_sum_radii_organic_cofactors,most_extreme_distance_organic_cofactors,most_extreme_sum_radii_scaled_organic_cofactors,most_extreme_relative_distance_organic_cofactors,most_extreme_clash_organic_cofactors,smallest_distance_inorganic_cofactors,not_too_far_away_inorganic_cofactors,num_pairwise_clashes_inorganic_cofactors,most_extreme_ligand_atom_id_inorganic_cofactors,most_extreme_protein_atom_id_inorganic_cofactors,most_extreme_ligand_element_inorganic_cofactors,most_extreme_protein_element_inorganic_cofactors,most_extreme_ligand_vdw_inorganic_cofactors,most_extreme_protein_vdw_inorganic_cofactors,most_extreme_sum_radii_inorganic_cofactors,most_extreme_distance_inorganic_cofactors,most_extreme_sum_radii_scaled_inorganic_cofactors,most_extreme_relative_distance_inorganic_cofactors,most_extreme_clash_inorganic_cofactors,smallest_distance_waters,not_too_far_away_waters,num_pairwise_clashes_waters,most_extreme_ligand_atom_id_waters,most_extreme_protein_atom_id_waters,most_extreme_ligand_element_waters,most_extreme_protein_element_waters,most_extreme_ligand_vdw_waters,most_extreme_protein_vdw_waters,most_extreme_sum_radii_waters,most_extreme_distance_waters,most_extreme_sum_radii_scaled_waters,most_extreme_relative_distance_waters,most_extreme_clash_waters,volume_overlap_protein,volume_overlap_organic_cofactors,volume_overlap_inorganic_cofactors,volume_overlap_waters,rmsd,kabsch_rmsd,centroid_distance,score,method,protein,rank
True,True,True,True,True,True,True,True,True,True,True,True,True,True,1.0,True,False,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C7H9Cl2NO6P2/c8-4-1-5(9)3-6(2-4)10-7(17(11,12)13)18(14,15)16/h1-3,7,10H,(H2,11,12,13)(H2,14,15,16)","InChI=1S/C7H9Cl2NO6P2/c8-4-1-5(9)3-6(2-4)10-7(17(11,12)13)18(14,15)16/h1-3,7,10H,(H2,11,12,13)(H2,14,15,16)",True,True,True,True,True,True,True,True,True,18,0.9941397251117706,1.0038979598133362,0,0,28,1.0043097220946524,0,107,1.0029614079278961,0,18,28,107,1,1,3.639827049214401e-05,0,0,,16.067735704471264,32.337337809924335,2.0125634628733424,2.053275298151711,2,15,1039,O,C,1.55,1.7,3.25,2.053275298151711,3.25,0.6317770148159111,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.05747364068637585,,,,15.620871601731377,0.509226458917828,14.955725049239732,,diffdock,6au0__1__1.A__1.B,1
True,True,True,True,True,True,True,True,True,True,True,True,True,True,1.0,True,False,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C7H9Cl2NO6P2/c8-4-1-5(9)3-6(2-4)10-7(17(11,12)13)18(14,15)16/h1-3,7,10H,(H2,11,12,13)(H2,14,15,16)","InChI=1S/C7H9Cl2NO6P2/c8-4-1-5(9)3-6(2-4)10-7(17(11,12)13)18(14,15)16/h1-3,7,10H,(H2,11,12,13)(H2,14,15,16)",True,True,True,True,True,True,True,True,True,18,0.9941397251117706,1.0038979598133362,0,0,28,1.0043097220946524,0,107,1.0029614079278961,0,18,28,107,1,1,3.639827049214401e-05,0,0,,16.067735704471264,32.337337809924335,2.0125634628733424,2.053275298151711,2,15,1039,O,C,1.55,1.7,3.25,2.053275298151711,3.25,0.6317770148159111,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.05747364068637585,,,,15.620871601731377,0.509226458917828,14.955725049239732,1.44,diffdock,6au0__1__1.A__1.B,2
True,True,True,True,True,True,True,True,True,True,True,True,True,True,1.0,True,False,True,True,True,False,True,True,True,False,True,True,True,True,"InChI=1S/C7H9Cl2NO6P2/c8-4-1-5(9)3-6(2-4)10-7(17(11,12)13)18(14,15)16/h1-3,7,10H,(H2,11,12,13)(H2,14,15,16)","InChI=1S/C7H9Cl2NO6P2/c8-4-1-5(9)3-6(2-4)10-7(17(11,12)13)18(14,15)16/h1-3,7,10H,(H2,11,12,13)(H2,14,15,16)",True,True,True,True,True,True,True,True,True,18,0.9941228259857315,1.0039277959184425,0,0,28,1.0042876213850076,0,107,1.0027133695709927,0,18,28,107,1,1,9.854390842220686e-05,0,0,,16.067735704471264,50.519652389877805,3.144167499333425,2.0725098310985155,4,2,780,O,O,1.55,1.55,3.1,2.0725098310985155,3.1,0.6685515584188759,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.07562332577786936,,,,16.511347057789614,0.586963762828671,15.858916242821293,1.47,diffdock,6au0__1__1.A__1.B,3
True,True,True,True,True,True,True,True,True,True,True,True,True,True,1.0,True,False,True,True,True,False,True,True,True,False,True,True,True,True,"InChI=1S/C7H9Cl2NO6P2/c8-4-1-5(9)3-6(2-4)10-7(17(11,12)13)18(14,15)16/h1-3,7,10H,(H2,11,12,13)(H2,14,15,16)","InChI=1S/C7H9Cl2NO6P2/c8-4-1-5(9)3-6(2-4)10-7(17(11,12)13)18(14,15)16/h1-3,7,10H,(H2,11,12,13)(H2,14,15,16)",True,True,True,True,True,True,True,True,True,18,0.9941127707724127,1.0039545165693673,0,0,28,1.0043056911680994,0,107,1.0029402982008695,0,18,28,107,1,1,6.253434564796052e-05,0,0,,16.067735704471264,30.82751824788355,1.9185975432309976,1.3625355481601213,9,1,1043,P,N,1.95,1.6,3.55,1.3625355481601213,3.55,0.3838128304676398,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,2.399842521916802,True,0,17,2451,O,O,1.55,1.55,3.1,2.399842521916802,3.1,0.7741427490054199,False,0.11330861145447053,,,0.0,8.875114984732434,1.1624199455584234,7.9490874321063805,1.56,diffdock,6au0__1__1.A__1.B,4
True,True,True,True,True,True,True,True,True,True,True,True,True,True,1.0,True,False,True,True,True,False,True,True,True,False,True,True,True,True,"InChI=1S/C7H9Cl2NO6P2/c8-4-1-5(9)3-6(2-4)10-7(17(11,12)13)18(14,15)16/h1-3,7,10H,(H2,11,12,13)(H2,14,15,16)","InChI=1S/C7H9Cl2NO6P2/c8-4-1-5(9)3-6(2-4)10-7(17(11,12)13)18(14,15)16/h1-3,7,10H,(H2,11,12,13)(H2,14,15,16)",True,True,True,True,True,True,True,True,True,18,0.9941275503971978,1.0039743391944125,0,0,28,1.0043127912353786,0,107,0.9881538443558572,0,18,28,107,1,1,4.836960761476487e-05,0,0,,16.067735704471264,30.736412979368627,1.9129274681071224,0.9387443262145447,7,3,1042,O,N,1.55,1.6,3.1500000000000004,0.9387443262145447,3.1500000000000004,0.29801407181414113,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.11570247933884298,,,,15.207076705746061,0.7933184834930829,14.562939093968277,1.82,diffdock,6au0__1__1.A__1.B,5
True,True,True,True,True,True,True,True,True,True,True,True,True,True,1.0,True,False,True,True,True,True,True,True,True,True,True,True,True,True,"InChI=1S/C6H13O9P/c7-1-2-3(8)4(9)5(10)6(14-2)15-16(11,12)13/h2-10H,1H2,(H2,11,12,13)/t2-,3-,4+,5+,6-/m1/s1","InChI=1S/C6H13O9P/c7-1-2-3(8)4(9)5(10)6(14-2)15-16(11,12)13/h2-10H,1H2,(H2,11,12,13)/t2-,3-,4+,5+,6-/m1/s1",True,True,True,True,True,True,True,True,True,16,0.9694570474922224,1.0078111075245146,0,0,24,1.0098705404674246,0,80,1.0318460676282943,0,16,24,80,0,0,,0,0,,31.298658134182823,86.95209140057092,2.7781411914783085,1.7468189202089568,2,11,1523,O,O,1.55,1.55,3.1,1.7468189202089568,3.1,0.5634899742609538,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,3.833794740201932,True,0,4,2709,O,O,1.55,1.55,3.1,3.833794740201932,3.1,1.2367079807103005,False,0.05487962723272068,,,,0.7671660865647024,0.7565455645070773,0.09341768832607664,,diffdock,2x65__1__1.B__1.J_1.K,1
True,True,True,True,True,True,True,True,True,True,True,True,True,True,1.0,True,False,True,True,True,True,True,True,True,True,True,True,True,True,"InChI=1S/C6H13O9P/c7-1-2-3(8)4(9)5(10)6(14-2)15-16(11,12)13/h2-10H,1H2,(H2,11,12,13)/t2-,3-,4+,5+,6-/m1/s1","InChI=1S/C6H13O9P/c7-1-2-3(8)4(9)5(10)6(14-2)15-16(11,12)13/h2-10H,1H2,(H2,11,12,13)/t2-,3-,4+,5+,6-/m1/s1",True,True,True,True,True,True,True,True,True,16,0.9694570474922224,1.0078111075245146,0,0,24,1.0098705404674246,0,80,1.0318460676282943,0,16,24,80,0,0,,0,0,,31.298658134182823,86.95209140057092,2.7781411914783085,1.7468189202089568,2,11,1523,O,O,1.55,1.55,3.1,1.7468189202089568,3.1,0.5634899742609538,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,3.833794740201932,True,0,4,2709,O,O,1.55,1.55,3.1,3.833794740201932,3.1,1.2367079807103005,False,0.05487962723272068,,,,0.7671660865647024,0.7565455645070773,0.09341768832607664,0.85,diffdock,2x65__1__1.B__1.J_1.K,2
True,True,True,True,True,True,True,True,True,True,True,True,True,True,1.0,True,False,True,True,True,True,True,True,True,True,True,True,True,True,"InChI=1S/C6H13O9P/c7-1-2-3(8)4(9)5(10)6(14-2)15-16(11,12)13/h2-10H,1H2,(H2,11,12,13)/t2-,3-,4+,5+,6-/m1/s1","InChI=1S/C6H13O9P/c7-1-2-3(8)4(9)5(10)6(14-2)15-16(11,12)13/h2-10H,1H2,(H2,11,12,13)/t2-,3-,4+,5+,6-/m1/s1",True,True,True,True,True,True,True,True,True,16,0.9694286285584733,1.0078688488391452,0,0,24,1.0098644701235338,0,80,1.0347420507612959,0,16,24,80,0,0,,0,0,,31.298658134182823,85.0449601847193,2.7172078694273947,1.7219827234905676,2,11,1523,O,O,1.55,1.55,3.1,1.7219827234905676,3.1,0.5554782979001831,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,3.898023331125662,True,0,4,2709,O,O,1.55,1.55,3.1,3.898023331125662,3.1,1.257426881008278,False,0.05565622573129692,,,,0.8125126806702785,0.7864158863226413,0.16246279694325627,0.91,diffdock,2x65__1__1.B__1.J_1.K,3
True,True,True,True,True,True,True,True,True,True,True,True,True,True,1.0,True,False,True,True,True,True,True,True,True,True,True,True,True,True,"InChI=1S/C6H13O9P/c7-1-2-3(8)4(9)5(10)6(14-2)15-16(11,12)13/h2-10H,1H2,(H2,11,12,13)/t2-,3-,4+,5+,6-/m1/s1","InChI=1S/C6H13O9P/c7-1-2-3(8)4(9)5(10)6(14-2)15-16(11,12)13/h2-10H,1H2,(H2,11,12,13)/t2-,3-,4+,5+,6-/m1/s1",True,True,True,True,True,True,True,True,True,16,0.9694400237029414,1.0078031697575398,0,0,24,1.0098484075653842,0,80,1.0117630355323204,0,16,24,80,0,0,,0,0,,31.298658134182823,87.73437660215788,2.8031354004387428,1.8156911053370262,2,11,1523,O,O,1.55,1.55,3.1,1.8156911053370262,3.1,0.5857068081732342,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,3.724803115602219,True,0,4,2709,O,O,1.55,1.55,3.1,3.724803115602219,3.1,1.201549392129748,False,0.05877803557617943,,,,0.7960507658905943,0.7261644520944733,0.20436203943996856,0.98,diffdock,2x65__1__1.B__1.J_1.K,4
True,True,True,True,True,True,True,True,True,True,True,True,True,True,1.0,True,False,True,True,True,True,True,True,True,True,True,True,True,True,"InChI=1S/C6H13O9P/c7-1-2-3(8)4(9)5(10)6(14-2)15-16(11,12)13/h2-10H,1H2,(H2,11,12,13)/t2-,3-,4+,5+,6-/m1/s1","InChI=1S/C6H13O9P/c7-1-2-3(8)4(9)5(10)6(14-2)15-16(11,12)13/h2-10H,1H2,(H2,11,12,13)/t2-,3-,4+,5+,6-/m1/s1",True,True,True,True,True,True,True,True,True,16,0.969457534959087,1.007807649177861,0,0,24,1.0098571187274574,0,80,1.034787951400992,0,16,24,80,0,0,,0,0,,31.298658134182823,85.61102987168911,2.7352939383106984,1.791240369129726,2,11,1523,O,O,1.55,1.55,3.1,1.791240369129726,3.1,0.5778194739128149,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,3.69797587066222,True,0,4,2709,O,O,1.55,1.55,3.1,3.69797587066222,3.1,1.1928954421491031,False,0.05420753742901394,,,,0.7491414811302346,0.7241740723969873,0.17090888700195941,1.0,diffdock,2x65__1__1.B__1.J_1.K,5
