target_id,n_models,mean_rmsd,std_rmsd,min_rmsd,max_rmsd,methods
1afb__1__1.A__1.D_1.F,3,0.117,0.013,0.106,0.131,mcs
1b5d__1__1.A_1.B__1.D,3,0.627,0.178,0.521,0.832,mcs
1bcj__1__1.B__1.I_1.K,3,0.2,0.019,0.181,0.219,mcs
1ci0__1__1.A_1.B__1.D,3,1.113,0.015,1.099,1.129,mcs
1dku__2__1.B_3.A_3.B__3.E,3,1.985,0.093,1.9,2.085,mcs
1dp4__2__1.A__1.C,3,1.159,0.308,0.806,1.374,mcs
1dvr__1__1.A_1.B__1.C,3,1.811,0.128,1.717,1.957,mcs
1e1z__1__2.A__2.B,3,1.488,0.484,0.976,1.939,mcs
1esw__1__1.A__1.B_1.D,3,1.081,0.061,1.012,1.126,mcs
1fj4__1__1.B__1.F,3,0.021,0.001,0.02,0.022,mcs
1g4s__2__1.B__1.F_1.G_1.H,3,0.742,0.003,0.739,0.745,mcs
1g4t__2__1.B__1.F_1.G_1.H,3,0.957,0.031,0.926,0.988,mcs
1g60__1__1.A__1.D,3,0.409,0.012,0.395,0.419,mcs
1g77__1__1.A_2.A__2.D_2.E,3,0.658,0.004,0.654,0.662,mcs
1gm9__1__1.A_1.B__1.M_1.O,3,1.205,0.203,1.069,1.437,mcs
1gqg__2__1.B__1.Q,3,0.414,0.203,0.217,0.622,mcs
1gtk__1__1.A__1.B,3,0.569,0.082,0.519,0.663,mcs
1gzf__3__1.C__1.I_1.J,3,1.649,0.572,0.988,1.981,mcs
1h1i__1__1.A_1.C__1.E,3,0.896,0.111,0.803,1.019,mcs
1h36__1__2.B__2.G,3,0.687,0.513,0.346,1.277,mcs
1h3c__1__2.B__2.G,3,0.585,0.057,0.521,0.632,mcs
1h79__1__1.A_2.A__2.B_2.C,3,0.938,0.143,0.815,1.095,mcs
1h7a__1__1.A_2.A__2.B_2.D,3,0.817,0.14,0.681,0.962,mcs
1ia9__1__1.B__1.G,3,0.912,0.007,0.903,0.917,mcs
1isf__1__1.B__1.D,3,1.456,0.305,1.105,1.661,mcs
1isi__1__1.A__1.C,3,1.438,0.343,1.187,1.828,mcs
1itc__1__1.A__1.D,3,2.114,0.449,1.676,2.573,global
1j1m__1__1.A__1.B,3,0.804,0.691,0.245,1.577,global
1jcl__1__1.A__1.C,3,0.553,0.007,0.545,0.559,global
1jep__5__1.A_2.A__1.E_1.F,3,0.202,0.005,0.199,0.208,mcs
1js4__1__1.A__1.C,3,2.194,0.033,2.162,2.229,global
1juh__2__1.B_2.D__2.H,3,0.851,0.237,0.668,1.119,mcs
1juh__2__1.B__1.GA_1.X,3,0.573,0.309,0.217,0.761,mcs
1ka1__1__1.A__1.B_1.C_1.D,3,0.936,0.141,0.773,1.023,mcs
1kv3__2__1.B_1.F__1.L,3,1.306,0.224,1.048,1.444,mcs
1l1y__3__1.C__1.I,3,1.772,1.16,0.436,2.521,global
1l2a__1__1.A__1.G,3,0.617,0.062,0.564,0.685,global
1l4u__1__1.A__1.C_1.J,3,0.655,0.126,0.509,0.728,mcs
1l4y__1__1.A__1.B_1.H,3,0.715,0.014,0.7,0.724,mcs
1lhu__1__2.A__2.C,3,0.085,0.004,0.081,0.089,mcs
1lhv__1__2.A__2.D,3,0.618,0.874,0.109,1.627,mcs
1lor__1__1.A_2.A__1.B,3,0.578,0.408,0.108,0.814,mcs
1los__1__1.A_1.B__1.E,3,0.369,0.388,0.144,0.817,mcs
1lqv__2__1.B__1.J,3,0.365,0.171,0.169,0.481,mcs
1m4i__1__1.A__1.D,3,0.308,0.085,0.254,0.407,global
1nfs__1__1.A__1.D_1.E,3,0.535,0.018,0.519,0.554,global
1nme__2__3.A_4.A_4.B__4.C_4.D,3,0.768,0.132,0.679,0.919,mcs
1nup__1__1.A_1.B__1.E,3,0.425,0.195,0.199,0.538,mcs
1nx9__1__1.A__1.E,3,1.275,0.429,0.799,1.633,mcs
1o94__1__1.C__1.M,3,0.792,0.001,0.791,0.793,mcs
1oik__1__2.A__2.C_2.D_2.E,3,1.052,0.391,0.729,1.487,global
1omz__2__1.A__1.C_1.D,3,1.188,0.04,1.143,1.218,mcs
1on6__1__1.A__1.C_1.D,3,0.609,0.069,0.554,0.687,mcs
1pj6__1__2.A__2.C,3,1.81,0.179,1.695,2.016,mcs
1pwu__2__1.B__1.E_1.F,3,0.783,0.019,0.762,0.799,mcs
1q91__1__1.A__1.B_1.C_1.D,3,1.193,0.03,1.167,1.226,mcs
1q92__1__1.A__1.C,3,0.798,0.242,0.52,0.946,mcs
1qk0__1__1.A__1.E,3,0.654,0.035,0.619,0.689,mcs
1qk2__1__1.A__1.E,3,0.52,0.032,0.484,0.542,mcs
1qmg__2__1.D__1.R,3,0.658,0.085,0.559,0.708,mcs
1qnf__1__1.A__1.C,3,1.13,0.028,1.11,1.162,mcs
1qwu__1__1.A__1.C_1.D,3,1.141,0.029,1.11,1.166,global
