target_id,method,model_id,ref_prot_path,ref_lig_path,pred_complex_path,rmsd,n_atoms,pocket_atoms,success,error
4mws__1__1.A_1.B__1.G,,3,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4mws__1__1.A_1.B__1.G/4mws__1__1.A_1.B__1.G_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4mws__1__1.A_1.B__1.G/4mws__1__1.A_1.B__1.G_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_4mws__1__1.A_1.B__1.G/predictions/4mws__1__1.A_1.B__1.G/4mws__1__1.A_1.B__1.G_model_3.pdb,,,,False,Too few common CA atoms to superpose: 2
4mws__1__1.A_1.B__1.G,,2,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4mws__1__1.A_1.B__1.G/4mws__1__1.A_1.B__1.G_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4mws__1__1.A_1.B__1.G/4mws__1__1.A_1.B__1.G_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_4mws__1__1.A_1.B__1.G/predictions/4mws__1__1.A_1.B__1.G/4mws__1__1.A_1.B__1.G_model_2.pdb,,,,False,Too few common CA atoms to superpose: 2
4mws__1__1.A_1.B__1.G,,0,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4mws__1__1.A_1.B__1.G/4mws__1__1.A_1.B__1.G_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4mws__1__1.A_1.B__1.G/4mws__1__1.A_1.B__1.G_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_4mws__1__1.A_1.B__1.G/predictions/4mws__1__1.A_1.B__1.G/4mws__1__1.A_1.B__1.G_model_0.pdb,,,,False,Too few common CA atoms to superpose: 2
4mws__1__1.A_1.B__1.G,,1,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4mws__1__1.A_1.B__1.G/4mws__1__1.A_1.B__1.G_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4mws__1__1.A_1.B__1.G/4mws__1__1.A_1.B__1.G_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_4mws__1__1.A_1.B__1.G/predictions/4mws__1__1.A_1.B__1.G/4mws__1__1.A_1.B__1.G_model_1.pdb,,,,False,Too few common CA atoms to superpose: 2
4mws__1__1.A_1.B__1.G,,5,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4mws__1__1.A_1.B__1.G/4mws__1__1.A_1.B__1.G_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4mws__1__1.A_1.B__1.G/4mws__1__1.A_1.B__1.G_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_4mws__1__1.A_1.B__1.G/predictions/4mws__1__1.A_1.B__1.G/4mws__1__1.A_1.B__1.G_model_5.pdb,,,,False,Too few common CA atoms to superpose: 2
4x3l__1__1.A_1.B__1.C,mcs,2,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4x3l__1__1.A_1.B__1.C/4x3l__1__1.A_1.B__1.C_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4x3l__1__1.A_1.B__1.C/4x3l__1__1.A_1.B__1.C_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_4x3l__1__1.A_1.B__1.C/predictions/4x3l__1__1.A_1.B__1.C/4x3l__1__1.A_1.B__1.C_model_2.pdb,2.384185791015625e-07,20.0,30.0,True,
4x3l__1__1.A_1.B__1.C,mcs,3,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4x3l__1__1.A_1.B__1.C/4x3l__1__1.A_1.B__1.C_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4x3l__1__1.A_1.B__1.C/4x3l__1__1.A_1.B__1.C_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_4x3l__1__1.A_1.B__1.C/predictions/4x3l__1__1.A_1.B__1.C/4x3l__1__1.A_1.B__1.C_model_3.pdb,0.0,20.0,30.0,True,
4x3l__1__1.A_1.B__1.C,mcs,1,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4x3l__1__1.A_1.B__1.C/4x3l__1__1.A_1.B__1.C_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4x3l__1__1.A_1.B__1.C/4x3l__1__1.A_1.B__1.C_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_4x3l__1__1.A_1.B__1.C/predictions/4x3l__1__1.A_1.B__1.C/4x3l__1__1.A_1.B__1.C_model_1.pdb,0.0,20.0,30.0,True,
4x3l__1__1.A_1.B__1.C,mcs,0,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4x3l__1__1.A_1.B__1.C/4x3l__1__1.A_1.B__1.C_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4x3l__1__1.A_1.B__1.C/4x3l__1__1.A_1.B__1.C_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_4x3l__1__1.A_1.B__1.C/predictions/4x3l__1__1.A_1.B__1.C/4x3l__1__1.A_1.B__1.C_model_0.pdb,0.0,20.0,30.0,True,
4x3l__1__1.A_1.B__1.C,mcs,4,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4x3l__1__1.A_1.B__1.C/4x3l__1__1.A_1.B__1.C_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4x3l__1__1.A_1.B__1.C/4x3l__1__1.A_1.B__1.C_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_4x3l__1__1.A_1.B__1.C/predictions/4x3l__1__1.A_1.B__1.C/4x3l__1__1.A_1.B__1.C_model_4.pdb,0.0,20.0,30.0,True,
4jvo__1__1.A__1.C,mcs,9,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4jvo__1__1.A__1.C/4jvo__1__1.A__1.C_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4jvo__1__1.A__1.C/4jvo__1__1.A__1.C_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_4jvo__1__1.A__1.C/predictions/4jvo__1__1.A__1.C/4jvo__1__1.A__1.C_model_9.pdb,0.15332718121988992,28.0,29.0,True,
