mol_pred_loaded,mol_true_loaded,mol_cond_loaded,sanitization,inchi_convertible,all_atoms_connected,molecular_formula,molecular_bonds,double_bond_stereochemistry,tetrahedral_chirality,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,double_bond_flatness,internal_energy,protein-ligand_maximum_distance,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,minimum_distance_to_waters,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,volume_overlap_with_waters,rmsd_≤_2å,passes_valence_checks,passes_kekulization,inchi_crystal_valid,inchi_docked_valid,inchi_crystal,inchi_docked,inchi_overall,inchi_version,stereochemistry_preserved,hydrogens,net_charge,protons,stereo_sp3,stereo_sp3_inverted,stereo_type,number_bonds,shortest_bond_relative_length,longest_bond_relative_length,number_short_outlier_bonds,number_long_outlier_bonds,number_angles,most_extreme_relative_angle,number_outlier_angles,number_noncov_pairs,shortest_noncovalent_relative_distance,number_clashes,number_valid_bonds,number_valid_angles,number_valid_noncov_pairs,number_aromatic_rings_checked,number_aromatic_rings_pass,aromatic_ring_maximum_distance_from_plane,number_double_bonds_checked,number_double_bonds_pass,double_bond_maximum_distance_from_plane,ensemble_avg_energy,mol_pred_energy,energy_ratio,smallest_distance_protein,num_pairwise_clashes_protein,most_extreme_ligand_atom_id_protein,most_extreme_protein_atom_id_protein,most_extreme_ligand_element_protein,most_extreme_protein_element_protein,most_extreme_ligand_vdw_protein,most_extreme_protein_vdw_protein,most_extreme_sum_radii_protein,most_extreme_distance_protein,most_extreme_sum_radii_scaled_protein,most_extreme_relative_distance_protein,most_extreme_clash_protein,smallest_distance_organic_cofactors,not_too_far_away_organic_cofactors,num_pairwise_clashes_organic_cofactors,most_extreme_ligand_atom_id_organic_cofactors,most_extreme_protein_atom_id_organic_cofactors,most_extreme_ligand_element_organic_cofactors,most_extreme_protein_element_organic_cofactors,most_extreme_ligand_vdw_organic_cofactors,most_extreme_protein_vdw_organic_cofactors,most_extreme_sum_radii_organic_cofactors,most_extreme_distance_organic_cofactors,most_extreme_sum_radii_scaled_organic_cofactors,most_extreme_relative_distance_organic_cofactors,most_extreme_clash_organic_cofactors,smallest_distance_inorganic_cofactors,not_too_far_away_inorganic_cofactors,num_pairwise_clashes_inorganic_cofactors,most_extreme_ligand_atom_id_inorganic_cofactors,most_extreme_protein_atom_id_inorganic_cofactors,most_extreme_ligand_element_inorganic_cofactors,most_extreme_protein_element_inorganic_cofactors,most_extreme_ligand_vdw_inorganic_cofactors,most_extreme_protein_vdw_inorganic_cofactors,most_extreme_sum_radii_inorganic_cofactors,most_extreme_distance_inorganic_cofactors,most_extreme_sum_radii_scaled_inorganic_cofactors,most_extreme_relative_distance_inorganic_cofactors,most_extreme_clash_inorganic_cofactors,smallest_distance_waters,not_too_far_away_waters,num_pairwise_clashes_waters,most_extreme_ligand_atom_id_waters,most_extreme_protein_atom_id_waters,most_extreme_ligand_element_waters,most_extreme_protein_element_waters,most_extreme_ligand_vdw_waters,most_extreme_protein_vdw_waters,most_extreme_sum_radii_waters,most_extreme_distance_waters,most_extreme_sum_radii_scaled_waters,most_extreme_relative_distance_waters,most_extreme_clash_waters,volume_overlap_protein,volume_overlap_organic_cofactors,volume_overlap_inorganic_cofactors,volume_overlap_waters,rmsd,kabsch_rmsd,centroid_distance,score,method,protein,rank
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,"InChI=1S/C6H12O5/c1-10-6-5(9)4(8)3(7)2-11-6/h3-9H,2H2,1H3/t3-,4+,5-,6-/m1/s1","InChI=1S/C6H12O5/c1-10-6-5(9)4(8)3(7)2-11-6/h3-9H,2H2,1H3/t3-,4+,5-,6-/m1/s1",True,True,True,True,True,True,True,True,True,11,0.9893831227213962,1.0035709761679807,0,0,15,1.0055148419508668,0,29,1.062739722895758,0,11,15,29,0,0,,0,0,,29.907733575893793,63.23596643606209,2.1143683882162003,2.454145134257548,0,2,8129,C,O,1.7,1.55,3.25,2.4796993628260697,3.25,0.7629844193310984,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.06372549019607843,,,,0.7684937510836015,0.43817664277770635,0.4774813644409907,154.47067041126454,surfDock,7ZDY_6MJ,1
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,"InChI=1S/C6H12O5/c1-10-6-5(9)4(8)3(7)2-11-6/h3-9H,2H2,1H3/t3-,4+,5-,6-/m1/s1","InChI=1S/C6H12O5/c1-10-6-5(9)4(8)3(7)2-11-6/h3-9H,2H2,1H3/t3-,4+,5-,6-/m1/s1",True,True,True,True,True,True,True,True,True,11,0.9893854581869371,1.0035408516087685,0,0,15,1.0055361017086493,0,29,1.0627052177276703,0,11,15,29,0,0,,0,0,,29.907733575893793,62.905276319511316,2.1033113779712873,2.2768556607743053,1,10,7223,O,N,1.55,1.6,3.1500000000000004,2.2768556607743053,3.1500000000000004,0.7228113208807317,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.06176582038651004,,,,0.681416208415171,0.33917974260400924,0.2948036051676376,147.6561433705661,surfDock,7ZDY_6MJ,2
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,"InChI=1S/C6H12O5/c1-10-6-5(9)4(8)3(7)2-11-6/h3-9H,2H2,1H3/t3-,4+,5-,6-/m1/s1","InChI=1S/C6H12O5/c1-10-6-5(9)4(8)3(7)2-11-6/h3-9H,2H2,1H3/t3-,4+,5-,6-/m1/s1",True,True,True,True,True,True,True,True,True,11,0.989411757523412,1.0035703264618716,0,0,15,1.005514823261918,0,29,1.0627150861343237,0,11,15,29,0,0,,0,0,,29.907733575893793,61.97960319659583,2.0723604160548152,2.2603770769497724,1,9,7503,O,N,1.55,1.6,3.1500000000000004,2.2603770769497724,3.1500000000000004,0.7175800244284991,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.06957502820609252,,,,0.8036762424803111,0.3643673253887167,0.4139662214231257,144.56534340755636,surfDock,7ZDY_6MJ,3
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,"InChI=1S/C6H12O5/c1-10-6-5(9)4(8)3(7)2-11-6/h3-9H,2H2,1H3/t3-,4+,5-,6-/m1/s1","InChI=1S/C6H12O5/c1-10-6-5(9)4(8)3(7)2-11-6/h3-9H,2H2,1H3/t3-,4+,5-,6-/m1/s1",True,True,True,True,True,True,True,True,True,11,0.9893437066204162,1.0035710570652137,0,0,15,1.0054870578162762,0,29,1.0627014833928756,0,11,15,29,0,0,,0,0,,29.907733575893793,61.354296773838804,2.0514525655428315,2.3879707808095136,0,9,7503,O,N,1.55,1.6,3.1500000000000004,2.3879707808095136,3.1500000000000004,0.7580859621617503,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.05355108241549563,,,,0.7144860435051446,0.35753535982115536,0.48503750634563625,139.9451857172863,surfDock,7ZDY_6MJ,4
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,"InChI=1S/C6H12O5/c1-10-6-5(9)4(8)3(7)2-11-6/h3-9H,2H2,1H3/t3-,4+,5-,6-/m1/s1","InChI=1S/C6H12O5/c1-10-6-5(9)4(8)3(7)2-11-6/h3-9H,2H2,1H3/t3-,4+,5-,6-/m1/s1",True,True,True,True,True,True,True,True,True,11,0.9893980458554343,1.003557041522879,0,0,15,1.00555062768719,0,29,1.0627225310755375,0,11,15,29,0,0,,0,0,,29.907733575893793,62.15322923502741,2.0781658054197765,2.2343828342520013,2,9,7503,O,N,1.55,1.6,3.1500000000000004,2.2343828342520013,3.1500000000000004,0.7093278838895242,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.07823775161412837,,,,0.9395039682532664,0.3646684737427333,0.7010343948247313,137.22740665481712,surfDock,7ZDY_6MJ,5
True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,"InChI=1S/C11H18N5O12P3/c12-9-6-10(14-2-13-9)16(3-15-6)11-8(18)7(17)5(27-11)1-26-31(24,25)28-30(22,23)4-29(19,20)21/h2-3,5,7-8,11,17-18H,1,4H2,(H,22,23)(H,24,25)(H2,12,13,14)(H2,19,20,21)/t5-,7-,8-,11-/m1/s1","InChI=1S/C11H18N5O12P3/c12-9-6-10(14-2-13-9)16(3-15-6)11-8(18)7(17)5(27-11)1-26-31(24,25)28-30(22,23)4-29(19,20)21/h2-3,5,7-8,11,17-18H,1,4H2,(H,22,23)(H,24,25)(H2,12,13,14)(H2,19,20,21)/t5-,7-,8-,11-/m1/s1",True,True,True,True,True,True,True,True,True,33,0.9888751439989787,1.0065018098942449,0,0,52,1.0199547072144401,0,380,0.6035992332162377,1,33,52,379,1,1,2.6900603795266454e-05,0,0,,75.56854375557529,256.22709612273934,3.390658114988956,2.45988624736999,0,3,518,O,C,1.55,1.7,3.25,2.45988624736999,3.25,0.756888076113843,False,,False,0,,,,,,,,,,,,3.6437637848795847,True,0,1,2605,O,Mg,0.68,1.1,1.7800000000000002,3.6437637848795847,1.7800000000000002,2.047058306112126,False,,False,0,,,,,,,,,,,,0.03300285209832948,,,,0.8924024822481056,0.7986034137595793,0.3176290975342419,288.0874595025635,surfDock,7WCF_ACP,1
True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,"InChI=1S/C11H18N5O12P3/c12-9-6-10(14-2-13-9)16(3-15-6)11-8(18)7(17)5(27-11)1-26-31(24,25)28-30(22,23)4-29(19,20)21/h2-3,5,7-8,11,17-18H,1,4H2,(H,22,23)(H,24,25)(H2,12,13,14)(H2,19,20,21)/t5-,7-,8-,11-/m1/s1","InChI=1S/C11H18N5O12P3/c12-9-6-10(14-2-13-9)16(3-15-6)11-8(18)7(17)5(27-11)1-26-31(24,25)28-30(22,23)4-29(19,20)21/h2-3,5,7-8,11,17-18H,1,4H2,(H,22,23)(H,24,25)(H2,12,13,14)(H2,19,20,21)/t5-,7-,8-,11-/m1/s1",True,True,True,True,True,True,True,True,True,33,0.9888935213219875,1.006539614331825,0,0,52,1.0199105433587639,0,380,0.569089395310015,1,33,52,379,1,1,2.273197902612552e-05,0,0,,75.56854375557529,374.2994971534379,4.953112479765403,2.2683475064460463,1,26,1098,N,O,1.6,1.55,3.1500000000000004,2.2683475064460463,3.1500000000000004,0.7201103195066813,True,,False,0,,,,,,,,,,,,2.731544392829815,True,0,2,2605,O,Mg,0.68,1.1,1.7800000000000002,2.731544392829815,1.7800000000000002,1.5345755015897835,False,,False,0,,,,,,,,,,,,0.02674230145867099,,0.0,,0.7073456555684868,0.6323675149477506,0.28679794663774855,253.85697573225187,surfDock,7WCF_ACP,2
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,"InChI=1S/C11H18N5O12P3/c12-9-6-10(14-2-13-9)16(3-15-6)11-8(18)7(17)5(27-11)1-26-31(24,25)28-30(22,23)4-29(19,20)21/h2-3,5,7-8,11,17-18H,1,4H2,(H,22,23)(H,24,25)(H2,12,13,14)(H2,19,20,21)/t5-,7-,8-,11-/m1/s1","InChI=1S/C11H18N5O12P3/c12-9-6-10(14-2-13-9)16(3-15-6)11-8(18)7(17)5(27-11)1-26-31(24,25)28-30(22,23)4-29(19,20)21/h2-3,5,7-8,11,17-18H,1,4H2,(H,22,23)(H,24,25)(H2,12,13,14)(H2,19,20,21)/t5-,7-,8-,11-/m1/s1",True,True,True,True,True,True,True,True,True,33,0.9888701921387589,1.006570535325809,0,0,52,1.019911987402323,0,380,0.8289560755238661,0,33,52,380,1,1,9.761045186755965e-06,0,0,,75.56854375557529,208.32068290156295,2.7567116229653887,1.5529194344846073,2,3,521,O,N,1.55,1.6,3.1500000000000004,1.5529194344846073,3.1500000000000004,0.49299029666178007,True,,False,0,,,,,,,,,,,,4.109842990918268,True,0,1,2605,O,Mg,0.68,1.1,1.7800000000000002,4.109842990918268,1.7800000000000002,2.3089005566956557,False,,False,0,,,,,,,,,,,,0.03508298475239509,,,,0.89379026766946,0.8576022256107598,0.13261447798438292,244.7807570689096,surfDock,7WCF_ACP,3
True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C11H18N5O12P3/c12-9-6-10(14-2-13-9)16(3-15-6)11-8(18)7(17)5(27-11)1-26-31(24,25)28-30(22,23)4-29(19,20)21/h2-3,5,7-8,11,17-18H,1,4H2,(H,22,23)(H,24,25)(H2,12,13,14)(H2,19,20,21)/t5-,7-,8-,11-/m1/s1","InChI=1S/C11H18N5O12P3/c12-9-6-10(14-2-13-9)16(3-15-6)11-8(18)7(17)5(27-11)1-26-31(24,25)28-30(22,23)4-29(19,20)21/h2-3,5,7-8,11,17-18H,1,4H2,(H,22,23)(H,24,25)(H2,12,13,14)(H2,19,20,21)/t5-,7-,8-,11-/m1/s1",True,True,True,True,True,True,True,True,True,33,0.988858273211984,1.0065208556735972,0,0,52,1.0199069925777722,0,380,0.6622783563033647,1,33,52,379,1,1,1.978761490481492e-05,0,0,,75.56854375557529,1711.7427618894071,22.65152505023783,2.3059505718900377,1,1,554,O,N,1.55,1.6,3.1500000000000004,2.3059505718900377,3.1500000000000004,0.7320478006000118,True,,False,0,,,,,,,,,,,,2.6844450338943426,True,0,6,2605,O,Mg,0.68,1.1,1.7800000000000002,2.6844450338943426,1.7800000000000002,1.5081151875810912,False,,False,0,,,,,,,,,,,,0.037219485495347565,,0.0,,2.12417909654378,2.091546318189768,0.2443546842541879,242.35174045136426,surfDock,7WCF_ACP,4
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,"InChI=1S/C11H18N5O12P3/c12-9-6-10(14-2-13-9)16(3-15-6)11-8(18)7(17)5(27-11)1-26-31(24,25)28-30(22,23)4-29(19,20)21/h2-3,5,7-8,11,17-18H,1,4H2,(H,22,23)(H,24,25)(H2,12,13,14)(H2,19,20,21)/t5-,7-,8-,11-/m1/s1","InChI=1S/C11H18N5O12P3/c12-9-6-10(14-2-13-9)16(3-15-6)11-8(18)7(17)5(27-11)1-26-31(24,25)28-30(22,23)4-29(19,20)21/h2-3,5,7-8,11,17-18H,1,4H2,(H,22,23)(H,24,25)(H2,12,13,14)(H2,19,20,21)/t5-,7-,8-,11-/m1/s1",True,True,True,True,True,True,True,True,True,33,0.9888602632890291,1.0065041500555896,0,0,52,1.0199228122356363,0,380,1.0039034484736913,0,33,52,380,1,1,2.628181538518842e-05,0,0,,75.56854375557529,720.0640525893893,9.52862152430011,1.2441864088632393,4,3,533,O,C,1.55,1.7,3.25,1.2441864088632393,3.25,0.38282658734253516,True,,False,0,,,,,,,,,,,,3.9490274182385714,True,0,7,2605,C,Mg,0.68,1.1,1.7800000000000002,3.9490274182385714,1.7800000000000002,2.218554729347512,False,,False,0,,,,,,,,,,,,0.04571121269158376,,,,1.9579673705640626,1.8262339282716666,0.2549901964000733,233.55537565035732,surfDock,7WCF_ACP,5
